Date,Index
2019-09-30,176.84170931807
2019-08-31,176.76674814025
2019-07-31,176.45589393957
2019-06-30,176.13090047432
2019-05-31,175.14746349971
2019-04-30,174.11279174648
2019-03-31,173.4295139407
2019-02-28,173.27105279055
2019-01-31,173.7926612569
2018-12-31,174.53197386505
2018-11-30,174.32005641163
2018-10-31,173.95111416423
2018-09-30,174.26522561476
2018-08-31,174.42953886449
2018-07-31,174.2131317926
2018-06-30,173.44537788859
2018-05-31,172.35934414175
2018-04-30,171.48682887311
2018-03-31,170.41507793192
2018-02-28,169.3635577084
2018-01-31,169.44700606979
2017-12-31,170.13142125777
2017-11-30,169.67922795023
2017-10-31,169.36412609998
2017-09-30,169.02561253547
2017-08-31,169.50749019574
2017-07-31,169.27818704641
2017-06-30,168.06163727619
2017-05-31,166.68928810679
2017-04-30,165.07901777014
2017-03-31,163.80711336066
2017-02-28,162.61919080649
2017-01-31,162.80655370421
2016-12-31,163.53112073119
2016-11-30,163.42772755858
2016-10-31,162.97878319096
2016-09-30,163.10930174061
2016-08-31,163.2375577085
2016-07-31,162.80948236916
2016-06-30,161.55171160355
2016-05-31,160.66875925295
2016-04-30,159.66342800923
2016-03-31,158.72664090164
2016-02-29,158.22434220246
2016-01-31,158.13871781799
2015-12-31,158.4761280955
2015-11-30,157.95443423052
2015-10-31,157.53017741186
2015-09-30,157.4485476054
2015-08-31,157.10108320236
2015-07-31,156.47781239322
2015-06-30,155.55220914651
2015-05-31,154.65743519841
2015-04-30,153.74825829009
2015-03-31,152.36257509062
2015-02-28,151.94210283945
2015-01-31,152.24675666866
2014-12-31,151.71437275466
2014-11-30,151.02719923861
2014-10-31,150.43523611833
2014-09-30,150.35304861787
2014-08-31,150.65151834686
2014-07-31,150.11695053416
2014-06-30,149.23334157103
2014-05-31,148.13961156725
2014-04-30,147.11181376661
2014-03-31,145.9867538203
2014-02-28,145.72572602326
2014-01-31,145.79808769169
2013-12-31,146.25051440713
2013-11-30,146.31140978643
2013-10-31,146.19306961927
2013-09-30,145.92898243983
2013-08-31,145.84618742762
2013-07-31,145.0057911228
2013-06-30,143.35666696539
2013-05-31,141.33815601732
2013-04-30,138.92492231256
2013-03-31,136.00991807377
2013-02-28,133.78493155385
2013-01-31,134.09454277087
2012-12-31,134.08198216584
2012-11-30,133.80732718112
2012-10-31,133.17703654612
2012-09-30,133.48308431341
2012-08-31,134.39914556917
2012-07-31,134.75110093761
2012-06-30,133.49648446639
2012-05-31,131.3277966885
2012-04-30,128.77993454789
2012-03-31,126.73908298327
2012-02-29,125.94217933626
2012-01-31,126.65151627688
2011-12-31,128.15032910325
2011-11-30,129.2491914965
2011-10-31,130.78828114443
2011-09-30,132.1783153209
2011-08-31,133.90817709378
2011-07-31,134.80498096251
2011-06-30,134.54808858066
2011-05-31,133.2184309264
2011-04-30,132.39044265545
2011-03-31,131.93786901168
2011-02-28,133.177995803
2011-01-31,135.10173683474
2010-12-31,137.2955384621
2010-11-30,138.69226979536
2010-10-31,140.02636093212
2010-09-30,141.64262607893
2010-08-31,143.50591096986
2010-07-31,144.82096612047
2010-06-30,144.99191051661
2010-05-31,144.19915730065
2010-04-30,142.70719076978
2010-03-31,141.18236251332
2010-02-28,141.22899380766
2010-01-31,143.18680247114
2009-12-31,145.33184897809
2009-11-30,146.33304241501
2009-10-31,147.07305433995
2009-09-30,148.24409779144
2009-08-31,149.36884545381
2009-07-31,149.78632624856
2009-06-30,148.60838689203
2009-05-31,148.25902832457
2009-04-30,147.45609623057
2009-03-31,147.39466366494
2009-02-28,148.8653427292
2009-01-31,151.37301488796
2008-12-31,155.27053669066
2008-11-30,157.21634922793
2008-10-31,157.26008008746
2008-09-30,158.36206145462
2008-08-31,160.45382577883
2008-07-31,161.20927991815
2008-06-30,162.85960197947
2008-05-31,164.97583363845
2008-04-30,166.66488527129
2008-03-31,168.25788153577
2008-02-29,171.01723772788
2008-01-31,173.42776683194
2007-12-31,176.59522078644
2007-11-30,178.33572839647
2007-10-31,181.82006124567
2007-09-30,183.84184981958
2007-08-31,185.49288986279
2007-07-31,185.93136151621
2007-06-30,186.44479486346
2007-05-31,187.15905639783
2007-04-30,188.55740574046
2007-03-31,189.84586618295
2007-02-28,191.86685335349
2007-01-31,193.15662819842
2006-12-31,194.28912884179
2006-11-30,195.00633893965
2006-10-31,195.16495466436
2006-09-30,194.25980250377
2006-08-31,193.52325823586
2006-07-31,194.11604367959
2006-06-30,194.62363032717
2006-05-31,194.82949711605
2006-04-30,195.02014364566
2006-03-31,195.71884491815
2006-02-28,195.45733773893
2006-01-31,195.12649112944
2005-12-31,195.829820625
2005-11-30,194.56594366779
2005-10-31,192.01171406768
2005-09-30,191.16781875417
2005-08-31,191.66375798089
2005-07-31,190.64507407043
2005-06-30,189.23679077556
2005-05-31,186.61434497669
2005-04-30,183.62748942513
2005-03-31,182.18362607268
2005-02-28,180.65095228214
2005-01-31,179.67892613983
2004-12-31,178.41385572784
2004-11-30,176.44253698395
2004-10-31,175.19216856003
2004-09-30,174.77161258528
2004-08-31,173.67941024583
2004-07-31,172.10248260105
2004-06-30,169.77856310573
2004-05-31,167.84712049914
2004-04-30,166.3776211009
2004-03-31,164.51596320868
2004-02-29,163.2192964502
2004-01-31,162.57206692936
2003-12-31,162.11323922801
2003-11-30,160.93664682837
2003-10-31,159.5879606205
2003-09-30,158.37348337
2003-08-31,157.60046143201
2003-07-31,156.66682349839
2003-06-30,155.18105234773
2003-05-31,153.73518686702
2003-04-30,151.91264046205
2003-03-31,150.21086466413
